Income,Credit_Score,Loan_Amount,Loan_Term_Months,Employment_Years,Debt_To_Income_Ratio,Default
97820,484,31063,24,12,24.77,No
93678,517,7023,60,6,42.82,Yes
124969,780,41489,48,3,37.6,No
34452,660,6127,60,11,36.64,No
102208,753,33391,48,16,40.09,No
93758,511,43611,24,3,25.07,No
66711,722,10076,48,20,13.14,No
79655,369,38759,24,7,30.83,Yes
75721,382,18756,36,10,6.26,No
99933,620,8588,12,11,9.75,No
44584,697,12569,36,12,13.03,No
66020,353,16815,12,13,10.61,No
88412,374,30800,36,20,19.15,No
119545,702,20758,60,20,21.75,No
67631,792,15219,24,2,21.93,No
61327,314,34150,48,18,22.34,Yes
28916,664,31118,60,14,8.84,No
33009,814,35878,36,4,36.03,Yes
113765,331,42184,36,0,10.79,No
27477,490,35464,24,5,25.59,Yes
94003,522,32539,60,11,44.84,Yes
40121,814,19047,24,19,15.04,No
87836,311,14783,36,0,40.51,Yes
146372,708,14234,12,20,35.44,No
20642,663,31271,12,15,17.56,No
107325,783,11840,24,20,7.16,No
142841,586,35449,24,14,24.39,No
45626,447,13153,60,17,32.86,Yes
61659,606,6234,48,17,40.29,No
46980,368,39387,36,9,26.23,Yes
80165,762,5433,48,15,6.2,No
116303,598,22464,12,19,38.26,Yes
138438,379,43067,60,14,27.3,No
148836,313,41003,60,11,31.46,Yes
89532,497,5198,12,6,42.15,Yes
145742,366,9840,48,20,21.09,No
133940,535,26862,24,5,8.77,No
109579,672,7249,48,14,41.33,No
53582,727,19680,60,19,29.19,No
139282,430,37716,12,20,15.63,No
34003,813,47247,48,0,32.31,Yes
103211,460,16535,12,7,41.7,Yes
102313,591,8915,36,20,43.94,Yes
48851,613,35123,12,7,28.89,No
132935,451,11984,12,19,42.97,Yes
127385,382,20846,60,12,24.59,No
138797,397,45313,60,4,10.05,No
127497,571,6632,36,0,43.71,Yes
36209,740,10644,36,13,21.17,No
101338,301,35642,24,6,27.07,No
79990,458,6865,60,5,12.1,No
27721,809,36595,36,11,14.52,No
79835,737,40049,48,17,17.29,No
54506,594,40505,48,8,35.36,Yes
83031,736,33406,36,5,22.7,No
108713,651,19593,48,11,29.91,No
68018,541,10987,24,1,5.31,No
138134,665,10913,60,2,34.0,No
81680,798,24101,36,9,6.87,No
21345,491,41394,24,16,18.62,Yes
105617,776,38104,24,9,29.26,No
63466,568,28166,24,9,29.83,No
146271,305,18293,48,0,28.7,No
88830,746,6457,60,1,34.23,No
112140,634,45562,24,0,36.54,No
143814,645,31304,48,17,11.65,No
70678,686,37608,12,2,38.47,Yes
143830,514,25008,12,16,44.44,Yes
53718,416,16984,24,6,10.19,No
98056,575,28595,60,19,19.47,No
43898,535,7815,36,9,22.91,No
75729,766,48467,24,18,41.62,Yes
108303,521,43206,36,2,20.02,No
148020,808,21919,60,16,34.08,No
29818,380,19083,48,17,40.29,Yes
101236,631,10084,36,13,10.72,No
22890,629,11368,24,13,24.56,No
141549,842,28210,60,13,12.29,No
142323,712,14713,12,2,25.35,No
25144,535,49977,36,0,16.48,Yes
123854,427,33025,36,20,23.57,No
93343,604,21989,24,6,27.51,No
73990,781,7035,24,0,17.57,No
77128,685,6367,24,4,17.95,No
114297,825,11234,36,19,9.0,No
124416,726,10967,12,1,9.01,No
135420,354,30971,12,14,10.72,No
98169,635,40303,24,0,29.66,No
36235,303,8399,36,20,10.73,No
112999,435,9831,48,9,44.89,Yes
97732,481,26231,36,4,29.1,No
30686,807,31013,36,14,21.06,No
66974,495,13679,36,13,12.73,No
35739,774,33843,60,0,23.23,No
80672,495,16417,36,12,13.01,No
131747,793,22829,24,9,44.62,No
35302,804,39348,36,15,32.62,Yes
139529,696,44865,24,17,31.64,No
68253,453,41789,12,4,36.77,Yes
127751,560,17186,24,10,29.13,No
63033,763,28163,24,16,30.76,No
101803,811,27078,12,1,5.01,No
125151,814,33605,12,14,24.93,No
24248,435,47923,24,16,36.73,Yes
39610,574,8306,60,13,13.45,No
140536,714,18019,36,3,36.04,No
55028,564,40997,24,2,12.01,Yes
55564,770,25378,12,10,38.53,No
122395,586,45644,36,11,24.39,No
122727,465,29099,60,8,36.14,Yes
53944,517,23544,12,7,11.68,No
98988,404,49111,12,20,16.38,No
82268,507,43013,24,0,13.38,Yes
42913,756,10225,60,17,17.23,No
106353,446,24402,48,17,6.96,No
48779,657,29785,60,17,42.85,Yes
119881,390,48705,60,9,17.04,No
34484,827,47804,60,0,40.62,Yes
132655,560,38975,12,0,39.76,Yes
78810,663,27210,12,20,24.06,No
134440,522,49080,12,1,12.8,No
66160,818,35259,60,20,26.24,No
108249,657,41699,60,16,8.46,No
100738,623,24499,60,0,14.4,No
75044,382,32693,60,0,10.25,No
116061,532,14238,48,4,31.45,Yes
122637,530,40203,24,6,28.25,No
71450,434,41382,24,18,44.95,Yes
54259,626,47695,24,1,13.59,No
25270,531,9917,48,4,32.03,Yes
113880,592,11913,24,7,42.82,Yes
82218,748,19481,60,12,25.04,No
35559,498,35112,12,6,37.07,Yes
99147,532,33872,24,15,11.84,No
117843,366,40789,60,8,19.06,No
81328,841,8405,48,19,25.43,No
51471,531,49983,36,5,40.86,Yes
126688,784,11454,36,9,44.41,No
126549,469,25950,36,12,20.75,No
135780,845,39746,24,16,25.56,No
101867,305,43992,36,6,31.12,Yes
32653,481,37088,12,13,13.01,Yes
134043,424,5030,48,20,41.81,Yes
89418,349,44158,60,3,44.58,Yes
111710,320,37167,48,16,10.21,No
136737,577,44465,48,20,12.11,No
145643,798,38169,60,8,29.57,No
121175,610,43758,12,8,25.25,No
51863,536,23835,12,14,12.16,No
51024,637,14284,48,4,34.42,No
104180,460,23507,48,3,34.68,Yes
117539,458,41452,36,19,42.96,Yes
34097,302,48344,12,10,11.92,Yes
53853,439,14570,60,8,43.83,Yes
40444,591,14566,48,15,12.29,No
78108,494,31426,12,15,21.1,No
45482,416,20077,60,16,35.1,Yes
95435,606,27477,60,8,22.29,No
107605,371,30288,48,1,32.85,Yes
82282,825,25770,24,12,20.73,No
105583,427,5979,48,8,31.17,Yes
73449,682,29123,36,17,24.87,No
67302,301,14787,60,4,25.87,No
41562,831,12412,48,0,27.13,No
61531,460,10050,60,9,43.16,Yes
23634,534,15030,12,9,23.94,Yes
80366,344,8285,36,10,22.0,No
101300,426,48617,12,10,9.01,No
42031,318,36187,60,7,39.35,Yes
93555,514,5351,60,13,39.88,Yes
53983,492,36139,12,8,27.83,Yes
149297,579,13699,24,18,7.18,No
100749,518,45394,12,12,27.72,No
41654,551,8481,12,5,7.18,No
31071,486,40015,12,17,40.76,Yes
87110,350,30059,48,19,7.53,No
94886,588,25325,24,17,20.71,No
55362,569,18870,24,2,16.38,No
41384,328,32640,48,10,35.11,Yes
78106,451,49997,60,4,12.9,Yes
109818,476,6382,48,18,28.84,No
138673,590,48272,48,9,21.97,No
136412,482,13732,24,10,39.06,Yes
127411,585,42894,36,13,39.67,Yes
139337,399,44432,24,20,24.89,No
112914,506,29170,60,8,14.97,No
32946,357,48198,24,3,9.67,Yes
49168,458,37162,48,13,15.87,Yes
77836,766,32437,48,8,18.56,No
74387,500,12179,24,2,8.52,No
50588,336,41615,60,19,20.54,Yes
24226,507,27364,36,5,21.06,Yes
59221,644,26009,48,11,5.62,No
88804,641,22491,60,16,27.33,No
24551,667,31433,60,5,43.61,Yes
58124,765,6585,36,3,27.17,No
72209,443,49428,24,17,38.02,Yes
113311,726,5901,60,10,15.18,No
100008,699,46530,36,6,40.45,No
70056,439,48482,60,20,28.73,Yes
116655,596,16567,48,13,28.98,No
58771,683,6379,24,5,21.35,No
99286,560,41539,24,4,42.53,Yes
38549,669,43043,12,6,41.64,Yes
102141,662,33823,60,13,32.58,No
55613,389,40862,60,7,41.97,Yes
68641,361,8772,48,4,40.41,Yes
108203,649,31522,12,3,19.65,No
98523,792,44529,48,2,35.75,No
86063,668,12903,24,11,29.82,No
25011,331,39778,24,20,41.16,Yes
69192,695,27299,48,5,28.5,No
109408,531,46865,60,0,26.69,No
33014,712,28801,24,6,16.54,No
132698,632,40550,12,17,16.81,No
21685,627,15131,12,9,22.89,No
66499,731,34466,60,0,17.64,No
125640,458,10216,12,13,12.66,No
21448,330,38512,24,3,20.28,Yes
100670,615,24726,60,7,17.93,No
55974,570,18584,48,19,31.47,Yes
20195,419,32115,24,8,14.23,Yes
73584,835,8095,48,16,27.45,No
145747,622,20010,36,4,25.62,No
137486,572,42331,36,13,43.51,Yes
80106,740,39048,24,0,8.32,No
27762,494,39566,60,17,31.03,Yes
95373,575,47268,12,8,29.04,No
77164,469,27128,24,8,18.2,No
139525,466,33502,12,17,14.36,No
70782,786,45109,36,19,16.2,No
33307,749,23935,24,13,30.45,Yes
46341,332,26391,36,4,40.57,Yes
38147,676,44752,36,9,9.53,No
86042,311,37401,24,20,44.03,Yes
93842,668,9218,12,15,18.01,No
24034,814,8565,12,18,33.75,No
137046,650,45268,12,6,22.64,No
84316,826,37495,48,11,9.18,No
88813,447,20147,60,20,21.22,No
54365,584,19300,60,20,28.66,No
92242,783,42693,12,17,29.13,No
45214,698,7114,48,16,40.13,No
54656,631,26120,36,1,16.63,No
122366,703,44925,24,20,35.45,No
116399,698,10627,24,10,32.57,No
44371,417,22616,36,15,41.41,Yes
126927,415,30254,36,15,24.69,No
26115,489,30109,12,16,14.33,Yes
144853,565,48305,36,5,43.48,Yes
65110,756,41639,60,8,28.86,No
139534,378,14278,12,1,21.21,No
140552,797,38942,36,2,34.68,No
37400,485,21102,60,17,6.82,Yes
77718,367,11273,48,16,26.59,No
108608,776,19206,24,10,22.69,No
66078,580,15250,48,9,8.62,No
