neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Staten Island,Private room,159,6,155,0.57,336
Staten Island,Shared room,89,3,151,4.98,272
Staten Island,Private room,77,5,71,0.92,116
Staten Island,Entire home/apt,58,7,106,2.97,305
Queens,Private room,126,2,136,2.06,93
Bronx,Shared room,39,6,174,0.63,167
Staten Island,Shared room,271,6,32,0.14,202
Bronx,Private room,343,3,189,3.11,340
Queens,Entire home/apt,473,6,18,4.03,148
Queens,Entire home/apt,261,5,194,4.21,182
Bronx,Private room,306,2,73,2.41,151
Manhattan,Private room,313,9,167,3.89,73
Brooklyn,Shared room,232,8,174,3.36,364
Manhattan,Entire home/apt,276,3,192,3.62,273
Manhattan,Private room,319,8,156,2.46,41
Manhattan,Entire home/apt,293,9,177,3.17,211
Staten Island,Private room,472,3,97,4.03,100
Queens,Private room,243,3,140,1.99,44
Manhattan,Entire home/apt,229,2,128,4.03,81
Queens,Private room,462,8,161,2.96,16
Bronx,Private room,108,1,92,0.83,72
Brooklyn,Shared room,430,8,175,0.12,13
Bronx,Private room,473,7,47,1.81,156
Bronx,Private room,372,7,176,2.73,222
Staten Island,Private room,373,3,63,4.2,131
Brooklyn,Shared room,202,1,60,0.64,337
Bronx,Entire home/apt,496,4,156,4.0,46
Bronx,Shared room,98,9,38,4.32,106
Brooklyn,Shared room,445,5,127,0.75,107
Brooklyn,Entire home/apt,457,1,87,4.26,264
Bronx,Shared room,478,5,25,4.96,204
Brooklyn,Entire home/apt,116,8,16,3.63,78
Bronx,Shared room,130,8,70,3.92,154
Bronx,Entire home/apt,37,5,12,4.97,270
Staten Island,Private room,362,9,68,3.03,246
Manhattan,Shared room,229,1,25,1.54,18
Bronx,Shared room,116,4,48,4.19,345
Queens,Shared room,72,3,194,3.07,25
Manhattan,Shared room,414,2,6,2.91,216
Manhattan,Private room,138,8,57,1.27,153
Manhattan,Shared room,464,7,48,3.78,153
Staten Island,Private room,437,9,102,0.41,173
Bronx,Private room,181,2,52,4.62,91
Staten Island,Private room,46,4,192,1.63,337
Bronx,Private room,162,6,61,0.64,180
Staten Island,Entire home/apt,177,3,16,2.21,130
Staten Island,Entire home/apt,306,8,170,0.21,297
Queens,Shared room,261,3,24,3.42,274
Staten Island,Entire home/apt,343,2,130,4.51,272
Brooklyn,Entire home/apt,444,3,28,4.19,75
Queens,Shared room,395,6,116,0.64,176
Staten Island,Shared room,257,2,159,0.63,183
Manhattan,Shared room,168,8,25,4.07,318
Brooklyn,Entire home/apt,465,1,123,4.62,130
Brooklyn,Entire home/apt,428,7,143,2.3,362
Brooklyn,Shared room,240,2,24,2.49,48
Queens,Private room,420,6,53,1.59,54
Staten Island,Shared room,57,2,155,4.47,153
Staten Island,Private room,80,2,72,3.22,354
Manhattan,Private room,471,8,119,1.44,199
Manhattan,Shared room,290,2,55,1.49,307
Brooklyn,Shared room,290,7,64,4.46,355
Manhattan,Shared room,379,3,92,0.07,117
Queens,Entire home/apt,381,8,85,1.61,262
Staten Island,Private room,37,7,79,2.77,45
Brooklyn,Entire home/apt,349,8,168,0.74,301
Manhattan,Entire home/apt,167,7,107,0.46,355
Queens,Shared room,67,6,178,4.08,188
Queens,Entire home/apt,140,7,117,4.47,309
Manhattan,Shared room,397,5,198,4.12,317
Staten Island,Private room,249,7,156,4.49,128
Manhattan,Shared room,366,1,82,2.77,48
Brooklyn,Entire home/apt,252,1,146,4.06,24
Manhattan,Entire home/apt,165,9,193,1.92,265
Queens,Shared room,285,5,168,3.33,117
Manhattan,Shared room,389,5,172,4.94,143
Staten Island,Entire home/apt,438,3,14,1.13,199
Bronx,Private room,358,5,130,1.95,156
Manhattan,Private room,479,3,138,2.4,347
Staten Island,Shared room,492,9,180,0.69,133
Staten Island,Private room,463,9,173,0.41,147
Queens,Entire home/apt,480,6,29,4.15,335
Staten Island,Shared room,78,1,56,4.88,70
Staten Island,Entire home/apt,321,7,145,2.02,232
Staten Island,Entire home/apt,411,7,178,0.44,333
Staten Island,Private room,353,4,127,0.33,298
Brooklyn,Shared room,107,8,47,4.46,153
Brooklyn,Shared room,134,6,193,2.32,89
Queens,Private room,198,4,135,1.6,333
Manhattan,Entire home/apt,246,4,21,2.38,198
Staten Island,Entire home/apt,407,2,5,1.59,160
Manhattan,Entire home/apt,148,2,184,2.45,25
Manhattan,Entire home/apt,219,4,103,4.3,120
Queens,Shared room,284,5,35,2.96,300
Staten Island,Shared room,399,8,78,3.47,211
Staten Island,Private room,295,6,115,1.82,62
Bronx,Private room,178,4,56,3.69,67
Manhattan,Shared room,193,7,48,3.33,252
Manhattan,Shared room,169,8,172,0.6,1
Brooklyn,Entire home/apt,376,2,81,2.86,107
Bronx,Entire home/apt,287,7,65,1.28,285
Brooklyn,Private room,403,2,76,4.02,48
Brooklyn,Shared room,298,2,44,2.13,139
Brooklyn,Private room,210,8,78,4.97,217
Queens,Shared room,189,2,19,0.46,43
Queens,Entire home/apt,380,9,191,3.9,268
Brooklyn,Private room,429,1,122,3.37,77
Bronx,Private room,317,9,66,3.84,215
Manhattan,Shared room,317,1,82,1.54,97
Bronx,Entire home/apt,409,2,2,2.46,235
Staten Island,Private room,255,6,181,3.98,281
Queens,Entire home/apt,40,6,63,1.16,148
Manhattan,Private room,39,1,39,1.13,303
Manhattan,Entire home/apt,300,7,58,2.76,65
Staten Island,Shared room,302,8,182,2.62,233
Staten Island,Private room,453,2,61,1.41,86
Brooklyn,Private room,431,8,131,1.49,78
Queens,Entire home/apt,212,9,59,1.39,204
Queens,Entire home/apt,486,6,115,3.86,278
Bronx,Private room,182,5,74,3.26,336
Brooklyn,Shared room,344,9,121,4.16,253
Brooklyn,Entire home/apt,363,9,106,4.88,303
Brooklyn,Entire home/apt,153,1,95,2.37,129
Brooklyn,Entire home/apt,143,3,90,0.33,83
Queens,Private room,307,9,157,0.24,275
Queens,Private room,443,2,129,1.48,186
Brooklyn,Private room,497,4,61,4.66,45
Bronx,Private room,242,4,48,2.62,182
Manhattan,Shared room,201,2,136,1.36,267
Manhattan,Shared room,317,3,91,2.0,295
Bronx,Private room,464,3,158,2.99,321
Brooklyn,Shared room,203,1,123,3.26,99
Queens,Entire home/apt,142,6,60,0.77,77
Manhattan,Entire home/apt,405,8,47,4.89,271
Staten Island,Entire home/apt,434,3,152,2.72,338
Staten Island,Private room,151,5,163,0.68,161
Bronx,Entire home/apt,61,1,135,4.47,43
Brooklyn,Shared room,251,7,57,0.37,237
Manhattan,Private room,148,1,100,4.54,133
Brooklyn,Shared room,68,9,111,4.98,191
Manhattan,Entire home/apt,297,8,172,3.5,355
Bronx,Entire home/apt,262,7,61,3.85,277
Bronx,Entire home/apt,460,7,38,1.69,17
Staten Island,Private room,47,5,57,4.71,11
Brooklyn,Shared room,178,5,98,2.65,179
Staten Island,Private room,426,5,191,3.66,122
Brooklyn,Private room,178,1,43,4.62,245
Staten Island,Entire home/apt,155,8,28,4.88,221
Queens,Private room,421,1,58,4.17,50
Queens,Private room,331,4,70,1.52,70
Queens,Entire home/apt,389,9,91,4.83,47
Queens,Private room,267,9,8,3.14,18
Manhattan,Entire home/apt,164,5,126,4.65,261
Queens,Entire home/apt,180,4,133,3.38,83
Bronx,Entire home/apt,265,3,156,1.54,154
Bronx,Entire home/apt,253,3,185,1.85,52
Manhattan,Private room,232,5,144,2.75,106
Queens,Entire home/apt,285,1,143,3.95,356
Queens,Entire home/apt,115,5,130,1.59,303
Queens,Private room,179,6,20,2.9,134
Staten Island,Private room,264,7,63,1.73,68
Brooklyn,Shared room,374,9,89,4.08,10
Staten Island,Private room,51,3,35,2.33,142
Brooklyn,Private room,377,2,61,0.38,191
Queens,Shared room,314,3,169,0.83,68
Queens,Private room,298,9,75,0.31,22
Staten Island,Private room,495,7,169,2.5,180
Staten Island,Private room,287,9,188,0.53,292
Brooklyn,Private room,58,2,12,0.57,8
Bronx,Shared room,242,5,10,4.71,270
Brooklyn,Private room,492,4,53,4.36,92
Staten Island,Private room,465,2,15,2.26,16
Staten Island,Shared room,312,9,7,4.93,153
Manhattan,Entire home/apt,79,9,103,0.0,327
Staten Island,Shared room,124,6,58,3.07,148
Manhattan,Entire home/apt,492,6,56,3.08,266
Bronx,Shared room,436,8,39,2.29,327
Brooklyn,Shared room,117,6,186,1.98,105
Brooklyn,Private room,73,1,129,2.28,34
Manhattan,Entire home/apt,490,4,93,2.07,118
Brooklyn,Private room,307,7,137,3.65,13
Staten Island,Entire home/apt,200,2,43,0.68,13
Queens,Shared room,450,9,138,0.99,265
Manhattan,Shared room,218,8,79,0.9,139
Brooklyn,Entire home/apt,382,8,80,1.31,293
Manhattan,Private room,213,7,1,2.63,363
Manhattan,Private room,32,4,177,0.56,118
Queens,Private room,220,2,139,4.34,237
Staten Island,Private room,147,3,114,1.49,33
Manhattan,Shared room,48,6,89,0.81,168
Brooklyn,Shared room,52,5,22,3.38,9
Bronx,Shared room,442,8,145,0.19,121
Manhattan,Shared room,59,6,61,3.1,144
Manhattan,Shared room,324,6,112,3.49,222
Queens,Private room,137,1,127,1.07,256
Staten Island,Private room,396,4,61,0.21,267
Bronx,Private room,310,5,37,1.82,358
Brooklyn,Private room,157,3,194,0.49,3
Bronx,Shared room,258,9,165,0.58,353
Brooklyn,Shared room,140,1,194,1.27,105
Staten Island,Shared room,165,6,60,1.48,84
Brooklyn,Entire home/apt,391,6,128,2.65,213
Queens,Private room,215,5,172,3.39,120
Queens,Private room,173,5,155,2.96,131
Queens,Shared room,101,5,148,0.74,337
Queens,Private room,158,6,121,0.86,196
Bronx,Private room,393,8,109,4.39,18
Staten Island,Shared room,290,2,12,2.79,129
Brooklyn,Entire home/apt,32,6,154,4.35,11
Brooklyn,Entire home/apt,478,1,99,1.86,80
Queens,Entire home/apt,417,4,134,3.07,329
Queens,Shared room,133,3,21,2.62,353
Manhattan,Private room,253,9,73,1.6,261
Staten Island,Shared room,349,3,180,2.35,124
Bronx,Shared room,391,6,131,2.51,306
Brooklyn,Private room,383,1,22,1.0,266
Manhattan,Entire home/apt,39,6,118,1.58,139
Manhattan,Entire home/apt,434,4,69,3.96,328
Brooklyn,Shared room,413,8,83,4.58,1
Bronx,Entire home/apt,331,9,100,1.8,7
Manhattan,Shared room,260,4,83,1.53,249
Manhattan,Shared room,248,6,160,0.98,138
Staten Island,Private room,440,1,27,3.39,123
Bronx,Private room,95,4,135,1.62,308
Manhattan,Private room,454,7,0,4.94,227
Bronx,Shared room,141,1,164,1.63,9
Brooklyn,Private room,42,8,62,1.97,211
Queens,Entire home/apt,422,6,21,3.02,111
Manhattan,Entire home/apt,449,5,69,4.01,7
Staten Island,Shared room,115,9,124,2.35,291
Brooklyn,Shared room,263,2,148,2.11,361
Bronx,Private room,119,5,95,4.98,252
Brooklyn,Shared room,343,6,162,0.05,13
Manhattan,Shared room,83,7,78,4.48,239
Bronx,Entire home/apt,41,5,4,0.75,241
Queens,Entire home/apt,238,9,59,3.93,341
Brooklyn,Private room,491,1,119,3.09,148
Manhattan,Shared room,43,7,45,1.71,235
Staten Island,Shared room,150,7,177,4.37,305
Bronx,Entire home/apt,447,4,175,0.06,166
Brooklyn,Shared room,466,9,133,1.13,19
Brooklyn,Entire home/apt,406,5,55,2.83,215
Queens,Private room,49,4,109,1.76,342
Queens,Entire home/apt,104,7,186,3.05,134
Staten Island,Shared room,429,4,156,0.12,128
Staten Island,Private room,272,3,198,0.58,293
Manhattan,Entire home/apt,252,9,103,0.64,245
Manhattan,Entire home/apt,99,8,76,0.95,188
Staten Island,Private room,341,1,145,2.3,43
Staten Island,Private room,240,7,1,3.76,85
Bronx,Entire home/apt,130,9,7,4.53,43
Queens,Shared room,215,8,74,4.18,329
Manhattan,Entire home/apt,161,8,181,0.98,144
Queens,Private room,140,6,124,2.21,50
Queens,Entire home/apt,410,4,37,1.0,241
Staten Island,Private room,161,8,175,1.32,293
Bronx,Private room,49,3,26,2.52,50
Brooklyn,Shared room,423,9,19,0.34,265
Bronx,Private room,53,2,139,1.09,119
Bronx,Private room,256,2,42,4.68,199
Queens,Shared room,183,7,188,2.33,247
Bronx,Private room,322,4,30,2.23,69
Manhattan,Shared room,259,8,90,0.07,340
Queens,Shared room,498,9,60,1.24,56
Manhattan,Private room,339,7,194,4.33,38
Brooklyn,Private room,388,5,108,0.82,288
Queens,Entire home/apt,434,8,90,2.08,17
Brooklyn,Shared room,231,4,162,0.07,219
Queens,Entire home/apt,67,2,94,2.39,312
Staten Island,Private room,459,6,142,0.11,243
Bronx,Entire home/apt,289,9,143,4.1,351
Staten Island,Shared room,217,1,12,4.12,303
Brooklyn,Entire home/apt,86,7,112,3.94,297
Bronx,Shared room,458,9,34,1.42,282
Queens,Private room,49,9,186,4.19,73
Bronx,Private room,302,3,148,2.71,109
Manhattan,Shared room,148,5,181,1.87,179
Bronx,Private room,100,8,157,3.13,31
Manhattan,Private room,33,8,47,0.06,233
Bronx,Private room,250,4,34,0.71,281
Manhattan,Private room,43,1,85,3.71,24
Brooklyn,Shared room,32,1,165,1.22,330
Staten Island,Entire home/apt,245,4,158,2.99,278
Queens,Entire home/apt,258,6,151,1.93,225
Bronx,Private room,365,8,113,4.27,56
Staten Island,Entire home/apt,215,6,176,4.76,179
Queens,Entire home/apt,84,9,99,4.42,231
Queens,Private room,417,9,159,1.35,342
Manhattan,Private room,405,2,182,0.97,286
Brooklyn,Entire home/apt,283,1,185,2.37,63
Brooklyn,Shared room,53,2,98,0.04,231
Staten Island,Private room,191,5,2,0.13,288
Brooklyn,Shared room,187,4,196,2.77,212
Bronx,Entire home/apt,111,4,84,2.6,257
Brooklyn,Private room,432,9,124,4.97,17
Staten Island,Shared room,188,8,137,1.01,174
Brooklyn,Private room,217,6,82,1.29,228
Bronx,Entire home/apt,89,1,24,0.57,225
Manhattan,Shared room,432,2,67,4.59,83
Staten Island,Entire home/apt,334,6,60,3.89,290
Manhattan,Entire home/apt,348,2,28,4.11,245
Manhattan,Private room,395,5,126,4.51,109
Manhattan,Shared room,240,5,18,2.62,253
Queens,Entire home/apt,435,6,170,2.26,87
Queens,Entire home/apt,181,6,193,1.65,71
Manhattan,Shared room,138,6,73,2.95,29
Staten Island,Entire home/apt,105,2,60,2.27,171
Bronx,Entire home/apt,59,3,170,2.26,308
Bronx,Shared room,343,6,152,4.68,342
Brooklyn,Shared room,146,8,19,4.92,176
Staten Island,Shared room,444,1,47,3.98,138
Queens,Shared room,385,1,86,3.78,193
Manhattan,Private room,221,2,151,3.4,185
Brooklyn,Shared room,48,6,138,0.83,217
Bronx,Private room,461,9,109,0.3,163
Queens,Private room,202,4,182,3.45,160
Queens,Private room,257,3,27,3.64,12
Manhattan,Entire home/apt,379,8,196,0.23,295
Bronx,Private room,212,9,190,4.64,88
Staten Island,Private room,142,5,58,0.46,323
Queens,Entire home/apt,212,9,132,1.43,41
Manhattan,Entire home/apt,175,2,50,3.36,209
Staten Island,Entire home/apt,348,3,148,0.85,228
Bronx,Shared room,145,7,11,0.28,349
Queens,Entire home/apt,142,7,49,1.66,274
Staten Island,Entire home/apt,280,6,131,3.83,278
Staten Island,Private room,280,6,112,2.07,250
Staten Island,Entire home/apt,332,2,169,3.26,309
Queens,Shared room,488,6,165,2.9,207
Queens,Entire home/apt,342,4,152,0.11,320
Brooklyn,Shared room,147,3,13,4.94,139
Bronx,Entire home/apt,330,2,31,0.21,279
Manhattan,Entire home/apt,190,1,138,4.84,33
Staten Island,Entire home/apt,430,5,188,2.75,308
Brooklyn,Entire home/apt,227,2,145,4.82,17
Manhattan,Shared room,289,2,154,0.57,56
Brooklyn,Shared room,177,7,54,2.45,111
Queens,Private room,269,8,181,0.85,4
Staten Island,Shared room,76,8,119,0.25,181
Manhattan,Entire home/apt,428,4,74,3.09,12
Manhattan,Private room,227,1,20,1.04,338
Manhattan,Private room,76,7,171,2.94,284
Manhattan,Private room,107,1,132,0.56,258
Manhattan,Entire home/apt,153,4,86,1.66,89
Brooklyn,Shared room,104,8,168,3.91,103
Staten Island,Entire home/apt,388,2,58,2.19,185
Queens,Private room,166,6,88,3.14,249
Queens,Entire home/apt,119,6,181,3.24,254
Queens,Entire home/apt,429,9,149,4.22,75
Queens,Shared room,354,5,82,1.62,107
Brooklyn,Shared room,90,4,64,3.44,155
Bronx,Private room,167,5,63,4.81,81
Staten Island,Entire home/apt,79,5,70,3.65,76
Manhattan,Entire home/apt,288,8,3,2.45,257
Bronx,Shared room,490,8,192,3.15,126
Queens,Entire home/apt,136,2,142,3.7,281
Bronx,Entire home/apt,142,7,103,3.06,87
Staten Island,Entire home/apt,379,8,149,0.08,203
Manhattan,Shared room,283,6,174,0.97,15
Manhattan,Private room,147,5,92,4.05,150
Staten Island,Private room,227,9,173,1.36,253
Staten Island,Entire home/apt,366,3,141,3.66,187
Queens,Private room,394,4,177,1.86,328
Manhattan,Shared room,80,9,147,2.61,31
Bronx,Shared room,274,6,177,0.34,270
Brooklyn,Private room,432,8,111,0.91,4
Brooklyn,Private room,455,7,160,4.79,329
Staten Island,Entire home/apt,64,2,118,4.45,307
Queens,Private room,331,3,58,3.26,332
Brooklyn,Entire home/apt,439,1,42,2.3,168
Manhattan,Entire home/apt,98,9,11,3.38,180
Staten Island,Shared room,378,7,39,3.09,177
Bronx,Shared room,349,1,117,2.84,142
Staten Island,Shared room,450,3,19,0.3,361
Bronx,Shared room,497,4,165,3.16,247
Staten Island,Private room,78,4,130,3.84,126
Staten Island,Shared room,434,5,155,4.97,262
Staten Island,Private room,103,3,183,0.06,39
Bronx,Shared room,221,3,89,3.65,354
Bronx,Private room,290,1,93,2.86,254
Staten Island,Entire home/apt,385,7,12,2.17,142
Brooklyn,Private room,99,1,65,0.64,239
Queens,Private room,119,2,36,2.05,227
Queens,Shared room,289,4,176,1.77,340
Queens,Private room,155,4,65,1.51,197
Bronx,Entire home/apt,260,5,35,3.65,64
Bronx,Entire home/apt,324,2,181,3.5,10
Brooklyn,Shared room,448,4,25,2.95,107
Queens,Entire home/apt,158,1,74,4.69,25
Queens,Private room,309,2,199,1.75,150
Staten Island,Entire home/apt,342,1,107,1.22,220
Bronx,Shared room,129,4,167,3.28,340
Queens,Private room,355,4,42,0.99,236
Brooklyn,Shared room,326,7,149,1.58,236
Brooklyn,Private room,211,9,147,1.12,218
Queens,Entire home/apt,203,9,7,0.35,150
Bronx,Shared room,345,5,28,4.14,122
Brooklyn,Shared room,393,1,39,1.27,143
Staten Island,Private room,217,1,157,2.37,188
Brooklyn,Shared room,86,6,127,0.22,254
Manhattan,Private room,60,2,83,3.5,67
Manhattan,Private room,113,8,115,1.65,103
Bronx,Private room,181,9,182,3.72,335
Queens,Private room,65,4,143,2.06,158
